geo_latitude,geo_longitude,date,president_name,village,region,total_low,total_high,size,total_deaths,location
32.978718,69.6698,"Sep 26, 2010",Obama,Lawara Mandi area of Datta Khel,North Waziristan,3,4,3.6,3 to 4 deaths,"Lawara Mandi area of Datta Khel, North Waziristan"
32.987354,69.66774,"Sep 26, 2010",Obama,Sherani area of Datta Khel,North Waziristan,3,4,3.6,3 to 4 deaths,"Sherani area of Datta Khel, North Waziristan"
32.997147,69.697952,"Oct 27, 2010",Obama,Deegan area of Datta Khel,North Waziristan,3,4,3.6,3 to 4 deaths,"Deegan area of Datta Khel, North Waziristan"
32.986778,70.315247,"Oct 27, 2010",Obama,"Spin Wam, near Mir Ali",North Waziristan,2,5,3.6,2 to 5 deaths,"Spin Wam, near Mir Ali, North Waziristan"
32.962009,70.333786,"Nov 3, 2010",Obama,"Khaso Khel village, near Mir Ali",North Waziristan,3,4,3.6,3 to 4 deaths,"Khaso Khel village, near Mir Ali, North Waziristan"
32.985626,70.342026,"Nov 19, 2010",Obama,"Naurak, near Marsi Khel village, nine miles east of Miram Shah",North Waziristan,3,4,3.6,3 to 4 deaths,"Naurak, near Marsi Khel village, nine miles east of Miram Shah, North Waziristan"
32.984474,70.377045,"Nov 28, 2010",Obama,"Hasan Khel, 30 km east of Miram Shah",North Waziristan,3,4,3.6,3 to 4 deaths,"Hasan Khel, 30 km east of Miram Shah, North Waziristan"
33.009815,70.366058,"Jan 12, 2011",Obama,"Haiderkhel, 15 miles east of Miram Shah",North Waziristan,3,4,3.6,3 to 4 deaths,"Haiderkhel, 15 miles east of Miram Shah, North Waziristan"
32.994843,69.627228,"Jan 23, 2011",Obama,"Doga Mada Khel, near Datta Khel",North Waziristan,3,4,3.6,3 to 4 deaths,"Doga Mada Khel, near Datta Khel, North Waziristan"
33.006935,70.239716,"Jul 5, 2011",Obama,Mir Ali,North Waziristan,3,4,3.6,3 to 4 deaths,"Mir Ali, North Waziristan"
32.509762,69.314117,"Sep 30, 2011",Obama,Near Angor Adda and Afghan border,South Waziristan,3,4,3.6,3 to 4 deaths,"Near Angor Adda and Afghan border, South Waziristan"
32.989372,70.058098,"Oct 14, 2011",Obama,Close to Miram Shah,North Waziristan,3,4,3.6,3 to 4 deaths,"Close to Miram Shah, North Waziristan"
32.5715,70.1548,"May 28, 2012",Obama,Hassokhel (Hassu Khel),North Waziristan,3,4,3.6,3 to 4 deaths,"Hassokhel (Hassu Khel), North Waziristan"
33.005211,70.069847,"Jun 14, 2012",Obama,Miranshah,North Waziristan,3,4,3.6,3 to 4 deaths,"Miranshah, North Waziristan"
32.905102,69.752785,"Sep 22, 2012",Obama,Datta Khel,North Waziristan,3,4,3.6,3 to 4 deaths,"Datta Khel, North Waziristan"
32.243587,69.510155,"Nov 29, 2012",Obama,Sheen Warsak,South Waziristan,0,7,3.6,0 to 7 deaths,"Sheen Warsak, South Waziristan"
32.241844,69.512215,"Dec 1, 2012",Obama,Sheen Warsak,South Waziristan,3,4,3.6,3 to 4 deaths,"Sheen Warsak, South Waziristan"
32.962585,70.243149,"Dec 21, 2012",Obama,Hisukhel,North Waziristan,3,4,3.6,3 to 4 deaths,"Hisukhel, North Waziristan"
32.9869239,70.06959912,"Dec 25, 2013",Obama,"Qutab Khel, Miran Shah",North Waziristan,3,4,3.6,3 to 4 deaths,"Qutab Khel, Miran Shah, North Waziristan"
32.96385443,69.81948849,"Oct 7, 2014",Obama,Datta Khel,North Waziristan,3,4,3.6,3 to 4 deaths,"Datta Khel, North Waziristan"
32.92426655,69.74395749,"Oct 9, 2014",Obama,Datta Khel,North Waziristan,3,4,3.6,3 to 4 deaths,"Datta Khel, North Waziristan"
33.4271716,70.6062492,"Jun 12, 2017",Trump,Hangu district,Khyber Punkhtunkhwa,1,6,3.6,1 to 6 deaths,"Hangu district, Khyber Punkhtunkhwa"
33.6905281,69.7671562,"Nov 30, 2017",Trump,Unclear,Kurram Agency,3,4,3.6,3 to 4 deaths,"Unclear, Kurram Agency"
33.001755,69.704132,"Oct 3, 2008",Bush,Datta Khel,North Waziristan,3,3,3.1,3 deaths,"Datta Khel, North Waziristan"
32.869205,70.133972,"Dec 8, 2009",Obama,"Aspalga Village, 7 miles southeast of Miram Shah",North Waziristan,3,3,3.1,3 deaths,"Aspalga Village, 7 miles southeast of Miram Shah, North Waziristan"
32.997723,70.18959,"Feb 17, 2010",Obama,"Tabi Tolkhel, 3 miles from Khost border OR Tapi, 9 miles east of Miram Shah",North Waziristan,2,4,3.1,2 to 4 deaths,"Tabi Tolkhel, 3 miles from Khost border OR Tapi, 9 miles east of Miram Shah, North Waziristan"
32.98505,70.014153,"Sep 27, 2010",Obama,"Khush Hali, southeast of Miram Shah",North Waziristan,2,4,3.1,2 to 4 deaths,"Khush Hali, southeast of Miram Shah, North Waziristan"
32.975838,70.261688,"Oct 7, 2010",Obama,"Khaisoori town, Mir Ali",North Waziristan,2,4,3.1,2 to 4 deaths,"Khaisoori town, Mir Ali, North Waziristan"
32.972382,70.289841,"Sep 11, 2011",Obama,"Hisokhel, near Mir Ali",North Waziristan,1,5,3.1,1 to 5 deaths,"Hisokhel, near Mir Ali, North Waziristan"
32.981022,70.037842,"May 26, 2012",Obama,Miranshah,North Waziristan,2,4,3.1,2 to 4 deaths,"Miranshah, North Waziristan"
32.280167,69.554443,"Jun 2, 2012",Obama,Khawashi Khel,South Waziristan,2,4,3.1,2 to 4 deaths,"Khawashi Khel, South Waziristan"
33.004704,70.067268,"Jun 12, 2012",Obama,Isha,North Waziristan,2,4,3.1,2 to 4 deaths,"Isha, North Waziristan"
32.953693,70.262802,"Jan 8, 2013",Obama,Essokhel,North Waziristan,3,3,3.1,3 deaths,"Essokhel, North Waziristan"
